Andre Trulsen, affiliated_with, Schalke
Martin Max, affiliated_with, Schalke
Karsten Baeron, affiliated_with, Hansa Rostock
St Pauli, affiliated_with, Trulsen
Sobotzik, affiliated_with, Trulsen
Sobotzik, affiliated_with, Schalke
Allen Johnson, affiliated_with, American Olympic
Michelle Freeman, affiliated_with, Jamaican Commonwealth
Gail Devers, affiliated_with, American Olympic
Brian Wellman, affiliated_with, Bermuda
Paulo Sousa, affiliated_with, Borussia Dortmund
Cam Battersby, affiliated_with, Ranatunga
Dos Santos, affiliated_with, UN Security Council
TUE McCarthy, affiliated_with, DIV
Buffett, affiliated_with, Property Capital
Buffett, affiliated_with, Securities and Exchange Commission
Petrobulk Rainbow, affiliated_with, Okinawa
Petrobulk Rainbow, affiliated_with, Inchon
Moller, affiliated_with, AP
Moller, affiliated_with, Caribs / Japan
Jomo, affiliated_with, Northsea Chaser
Pole Wojtek Lazarek, affiliated_with, Taibe
Betar, affiliated_with, Taibe
Sameh Haj Yihye, travels_to, Tel Aviv
Phelan, affiliated_with, Soccer - Kennedy
Liechenstein, affiliated_with, Football Association of Ireland
Mark Kennedy, affiliated_with, F.A.I.
Mark Kennedy, travels_to, Liverpool
Mark Kennedy, affiliated_with, Chelsea
Terry Phelan, travels_to, Liverpool
Terry Phelan, affiliated_with, Chelsea
Liechenstein, travels_to, Liverpool
Damien Lynch, affiliated_with, Dublin Newsroom
Fenerbahce, affiliated_with, Rapid Vienna
Umar Shelling, affiliated_with, NAN
Karin Gornji, affiliated_with, HINA
Zbigniew Siemiatkowski, affiliated_with, Interior
Bernd Schmidbauer, affiliated_with, Interior
Ryszard, official_of, Ministry
Ryszard, affiliated_with, Ministry
Ryszard Hincza, affiliated_with, Ministry
Belem, affiliated_with, Amazon Affairs Department
Andre Trulsen, affiliated_with, Martin Max
Karsten Baeron, affiliated_with, Schalke
Sobotzik, affiliated_with, Schalke
Paulo Sousa, affiliated_with, Borussia Dortmund
Michelle Freeman, affiliated_with, Jamaican Commonwealth
Gail Devers, affiliated_with, American Olympic
Sameh Haj Yihye, travels_to, Tel Aviv
Damien Lynch, affiliated_with, Dublin Newsroom
Mark Kennedy, travels_to, Liverpool
Terry Phelan, travels_to, Liverpool
Liechenstein, travels_to, Liverpool
