subject,relation,object
Werner Zwingmann,affiliated_with,the European Union 's
Nikolaus van der Pas,affiliated_with,Commission
Franz Fischler,affiliated_with,EU Farm
Fischler,affiliated_with,EU
Loyola de Palacio,affiliated_with,Spanish Farm
John Lloyd Jones,travels_to,Germany
John Lloyd Jones,affiliated_with,NFU
John Lloyd Jones,affiliated_with,BBC
Lien Chan,travels_to,China
Lien Chan,travels_to,Taipei
Lien Chan,travels_to,the Taiwan Strait
Lien Chan,travels_to,Ukraine
Lien Chan,travels_to,Beijing
Shen,official_of,Ministry
Shen,affiliated_with,Ministry
Shen Guofang,affiliated_with,Foreign Ministry
Shen Guofang,affiliated_with,Reuters
Tang Shubei,travels_to,China
Tang Shubei,travels_to,Taipei
Tang Shubei,travels_to,Taiwan
Tang,affiliated_with,the People 's Daily
Lien,travels_to,China
Lien,travels_to,Taipei
Lien,travels_to,Ukraine
Tang Shubei,affiliated_with,Xinhua news agency
Tang Shubei,affiliated_with,the Association for Relations Across
Dimitris Kontogiannis,affiliated_with,Athens Newsroom
David Levy,affiliated_with,Israel Radio
Tadeusz Awdankiewicz,affiliated_with,Reuters
Massoud Rajavi,affiliated_with,Mujahideen Khalq
Hassan Rastegar,affiliated_with,the Kurdistan Democratic Party of Iran
Hassan Rastegar,affiliated_with,KDPI
Nabil Abu Rdainah,travels_to,the West Bank
Nabil Abu Rdainah,affiliated_with,Reuters
Burhanuddin Rabbani,affiliated_with,Taleban
Saddam Hussein,travels_to,Baghdad
Saddam Hussein,travels_to,Moscow
Vladimir Zhirinovsky,travels_to,Baghdad
Vladimir Zhirinovsky,travels_to,Moscow
Zhirinovsky,travels_to,Iraq
Qasr,travels_to,Gulf
Blake Bath,affiliated_with,Lehman
Blake Bath,affiliated_with,Southern New England Telecommunciations Corp
-- Shutdown of,affiliated_with,Bally
Werner Zwingmann,affiliated_with,ZDF
Tim Herron,affiliated_with,Duffy Waldorf
Davis Love,affiliated_with,Duffy Waldorf
Anders Forsbrand,affiliated_with,Duffy Waldorf
Prescott,affiliated_with,Mind Games
Jack Berry,affiliated_with,Mind Games
N. Lenham 145,affiliated_with,Sussex 368-7
N. Lenham 145,affiliated_with,V. Drakes 59
Duncan Ferguson,affiliated_with,Everton
Ally McCoist,affiliated_with,Glasgow Rangers
Ferguson,travels_to,Scotland
Jackie McNamara,affiliated_with,Celtic
Alex Ferguson,affiliated_with,United
Phillip DeFreitas,affiliated_with,Boland
Jan Ove Pedersen,affiliated_with,Brann - Mons Ivar Mjelde
Vaduz,affiliated_with,RAF Riga
Zdenek Svoboda,affiliated_with,Petr
Rishon - Moshe Sabag,affiliated_with,Nissan Kapeta
Vasco da Gama 1,affiliated_with,Palmeiras
Tony,travels_to,Sydney
Newcombe,travels_to,Sydney
Newcombe,affiliated_with,Daily Telegraph
Newcombe,affiliated_with,Roche
Newcombe,affiliated_with,Wimbledon
Jason Stoltenberg,affiliated_with,Wimbledon
